population,CLAVECARRERA,n,unique_students,any_visit_rate,mean_visits,mean_z,sd_z,included_n_ge_min,min_n_rule
All observed math-course attempts with CMAT coverage,LAD,1601,622,0.16614615865084323,0.43285446595877575,-0.22309603849161544,0.9990792201881005,True,30
All observed math-course attempts with CMAT coverage,LNI,1587,637,0.19029615626969124,0.5349716446124764,0.05998810542274467,0.8815995391432772,True,30
All observed math-course attempts with CMAT coverage,LII,1528,441,0.21465968586387435,0.6191099476439791,0.07340204429161286,0.8679846983655403,True,30
All observed math-course attempts with CMAT coverage,LMT,1232,372,0.18181818181818182,0.46185064935064934,0.0745685854214642,0.9719444193686071,True,30
All observed math-course attempts with CMAT coverage,LAT,1136,438,0.35475352112676056,1.1179577464788732,0.29660635954923725,0.886608506256632,True,30
All observed math-course attempts with CMAT coverage,LBN,1070,336,0.2205607476635514,0.6476635514018692,0.009322039273102248,0.9874084593983455,True,30
All observed math-course attempts with CMAT coverage,LFP,1051,391,0.17411988582302568,0.4785918173168411,-0.07431467538668032,1.0284736346378986,True,30
All observed math-course attempts with CMAT coverage,LMK,1015,394,0.17536945812807883,0.47881773399014776,-0.0800171115308735,0.9875541277861554,True,30
All observed math-course attempts with CMAT coverage,LNM,985,300,0.21421319796954313,0.6233502538071066,0.1435344985457378,0.9721373911982527,True,30
All observed math-course attempts with CMAT coverage,LEC,966,246,0.2836438923395445,1.0434782608695652,-0.027595785631750143,1.0471149339112757,True,30
All observed math-course attempts with CMAT coverage,LIS,953,298,0.1689401888772298,0.4700944386149003,-0.02331710496853001,1.0427501670077308,True,30
All observed math-course attempts with CMAT coverage,LIC,948,264,0.1360759493670886,0.4008438818565401,-0.169108876941639,1.0334327795776959,True,30
All observed math-course attempts with CMAT coverage,LIM,841,233,0.18430439952437574,0.464922711058264,-0.13008906658481373,1.0285127335642952,True,30
All observed math-course attempts with CMAT coverage,LBM,789,240,0.20912547528517111,0.5931558935361216,0.1628256694889646,0.8739724665379315,True,30
All observed math-course attempts with CMAT coverage,LQI,587,175,0.23850085178875638,0.787052810902896,0.1282571422794557,0.9424242783811461,True,30
All observed math-course attempts with CMAT coverage,LAR,547,446,0.10420475319926874,0.25594149908592323,-0.02572032982940814,0.989511039848652,True,30
All observed math-course attempts with CMAT coverage,LPA,417,354,0.1223021582733813,0.2637889688249401,0.07005647254342989,0.9501227987769846,True,30
All observed math-course attempts with CMAT coverage,LFA,406,167,0.2857142857142857,0.9901477832512315,0.22881758296733204,0.9334001839007818,True,30
All observed math-course attempts with CMAT coverage,LRT,374,111,0.18449197860962566,0.5721925133689839,0.02784478487529386,0.9655795688870993,True,30
All observed math-course attempts with CMAT coverage,LHR,353,196,0.12464589235127478,0.34560906515580736,-0.08927072434859744,1.011113650181702,True,30
All observed math-course attempts with CMAT coverage,LCS,348,114,0.29310344827586204,0.9224137931034483,0.08691086912049699,0.9791952075188056,True,30
All observed math-course attempts with CMAT coverage,LPM,334,268,0.0748502994011976,0.2125748502994012,-0.10799003359869945,1.0058427026497023,True,30
All observed math-course attempts with CMAT coverage,LEF,328,312,0.18902439024390244,0.3780487804878049,-0.007240513459207857,0.9952109590719056,True,30
All observed math-course attempts with CMAT coverage,LBI,318,171,0.16981132075471697,0.5062893081761006,-0.06453747816529917,1.0300229766538065,True,30
All observed math-course attempts with CMAT coverage,LRI,303,262,0.10231023102310231,0.19141914191419143,-0.041463622840545285,1.0587785920683501,True,30
All observed math-course attempts with CMAT coverage,LBC,284,152,0.2007042253521127,0.5880281690140845,0.03643591633570496,0.9361604496917351,True,30
All observed math-course attempts with CMAT coverage,LFB,281,144,0.1601423487544484,0.5266903914590747,-0.04976488922621047,1.042250510420599,True,30
All observed math-course attempts with CMAT coverage,LIN,251,79,0.32669322709163345,0.7928286852589641,0.03076053432213047,1.0646878949126262,True,30
All observed math-course attempts with CMAT coverage,LDS,223,91,0.26905829596412556,0.8430493273542601,0.281575539758285,0.8681174342752047,True,30
All observed math-course attempts with CMAT coverage,LNA,220,66,0.25,0.9727272727272728,0.07439462681027231,0.9373856260766421,True,30
All observed math-course attempts with CMAT coverage,LCN,195,163,0.15897435897435896,0.3641025641025641,-0.1936417112788474,1.0330403280988105,True,30
All observed math-course attempts with CMAT coverage,LIY,149,46,0.2751677852348993,0.6442953020134228,-0.02867068666410904,0.8647275629940737,True,30
All observed math-course attempts with CMAT coverage,LRP,106,87,0.10377358490566038,0.18867924528301888,-0.06042421088469102,0.9225491562653532,True,30
All observed math-course attempts with CMAT coverage,LPT,84,72,0.11904761904761904,0.2261904761904762,-0.3331865962173741,1.1663464057936286,True,30
All observed math-course attempts with CMAT coverage,LND,68,25,0.11764705882352941,0.20588235294117646,-0.29485739090941887,1.2441380159836777,True,30
All observed math-course attempts with CMAT coverage,LPO,66,50,0.07575757575757576,0.09090909090909091,-0.07461149611051927,0.9895203180201351,True,30
All observed math-course attempts with CMAT coverage,LPD,62,57,0.22580645161290322,0.45161290322580644,-0.002411834348557453,0.8763497587092869,True,30
All observed math-course attempts with CMAT coverage,LCU,57,26,0.19298245614035087,0.3508771929824561,-0.36602707952148605,0.9194665492678876,True,30
All observed math-course attempts with CMAT coverage,LRM,46,34,0.2608695652173913,0.9130434782608695,0.20186982870307948,0.8244000650606691,True,30
All observed math-course attempts with CMAT coverage,LIV,45,21,0.06666666666666667,0.06666666666666667,-0.4521526683268451,1.067045943245847,True,30
All observed math-course attempts with CMAT coverage,LEA,42,37,0.14285714285714285,0.23809523809523808,0.2043248256343914,0.6438906819047405,True,30
All observed math-course attempts with CMAT coverage,BNI,40,18,0.225,0.375,-0.8037150326530454,1.0557626983395387,True,30
All observed math-course attempts with CMAT coverage,LDE,36,30,0.1388888888888889,0.3333333333333333,-0.6956157512332819,0.9811045569760884,True,30
All observed math-course attempts with CMAT coverage,LAI,35,20,0.14285714285714285,0.3142857142857143,-0.4501716640534755,1.329595191103251,True,30
All observed math-course attempts with CMAT coverage,BMK,19,7,0.05263157894736842,0.05263157894736842,-0.28247066013253336,0.8671178614659465,False,30
All observed math-course attempts with CMAT coverage,LMU,18,10,0.1111111111111111,0.1111111111111111,-0.7581978590726567,1.6011650488677984,False,30
All observed math-course attempts with CMAT coverage,BBA,14,10,0.0,0.0,-0.6019391169852096,0.8199651262473729,False,30
All observed math-course attempts with CMAT coverage,LAP,14,10,0.21428571428571427,0.2857142857142857,-0.4362589138300197,1.0556849656946157,False,30
All observed math-course attempts with CMAT coverage,INT,10,8,0.0,0.0,0.32694731436767654,1.1810005187714867,False,30
All observed math-course attempts with CMAT coverage,LIO,8,4,0.0,0.0,-0.156582821594627,0.8062337921902585,False,30
All observed math-course attempts with CMAT coverage,LTE,8,2,0.0,0.0,-1.1319451199436599,1.8200810666917229,False,30
All observed math-course attempts with CMAT coverage,BAR,5,4,0.0,0.0,-0.28860059568431906,1.0358657611769544,False,30
